Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
610217d0c6454865920e3c73,d3d950d2-a54e-46b0-b462-63f590a8b666,PHYSICAL,shop,chunky-open-hoop-earrings,Chunky Open Hoop Earrings,"<p class=""""></p>",SQ9267815,,,,,,,,,,,,,25,0,No,12,Earrings,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1627527149946-7Z41BMS821A61B8FJCFU/IMG_7595.JPG https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1634431566989-Z0YPVN98APOVPO4KJTKO/Madelyn+Cline+x+MWJ.jpeg
6102184f90d06223389c9500,16dd41c0-1a2b-4254-96ef-94462cace45c,PHYSICAL,shop,simple-stack-necklace,Simple Stack Necklace,,SQ0497094,Length,14 inches,,,,,,,,,,,20,0,No,1,Necklaces,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1627527288647-FQHK7VS3IEDMR04ZAPLQ/IMG_0920.JPG https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1627527288293-B7G2UTBBVWPNOK7LOVUB/IMG_0922.JPG https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1627527285205-T05VUIQ9IKA9MYTXAXDH/138E54C7-AFFB-4EB0-AD3A-5CA4340CF443.JPG
,6bcad3c4-c519-4d72-88d0-4550e0492a21,,,,,,SQ6243549,Length,16 inches,,,,,,,,,,,20,0,No,1,,,0,0,0,0,,
61021b00c6454865920e3d19,24ad3aa3-be2b-48ee-b70d-183319d80948,PHYSICAL,shop,butterfly-necklace-1,Butterfly Necklace,"<p class="""">This necklace is 15 inches and has a lobster clasp closure.</p>",SQ5310191,,,,,,,,,,,,,22,0,No,1,Necklaces,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1627527989749-32PBSA3F15360N6G84HI/IMG_8871.JPG https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1627527989230-RY3XP5EYRNAI32IK6XII/IMG_8645+2.JPG https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1627527989108-AOQKF0THDXJ7H5XBEZPD/IMG_8644+2.JPG
610acb488126132bd18ffe73,3f93ed4f-5595-4c25-8d7d-1f7e17a96bad,PHYSICAL,shop,i-heart-you-bracelet,I Heart You Bracelet,"<p class="""">This bracelet is 7.5 inches.</p>",SQ7039724,Color,Pink,,,,,,,,,,,10,0,No,1,,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1628097375627-FOGNOZK1U4W8ZP6EN5IA/IMG_1884.JPG https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1628097377443-MUQHB9TE2ERDP44RP3QT/IMG_1883.JPG
,0817bbd3-d3b5-43ce-b08e-faa55625abc1,,,,,,SQ29385203342,Color,Purple,,,,,,,,,,,10,0,No,1,,,0,0,0,0,,
,afde728c-2af7-48a3-ab49-45098138efef,,,,,,SQ2615931,Color,Red,,,,,,,,,,,10,0,No,1,,,0,0,0,0,,
,e7ca3b40-edae-4854-8ffe-17706f8eb047,,,,,,SQ6891961,Color,Blue,,,,,,,,,,,10,0,No,1,,,0,0,0,0,,
,401b4b02-9b5b-4a5d-95ff-9cc06e74a034,,,,,,SQ5928214,Color,Green,,,,,,,,,,,10,0,No,1,,,0,0,0,0,,
,4fc404a1-e19a-402a-a830-fb516c09ca5e,,,,,,SQ7503783,Color,Orange,,,,,,,,,,,10,0,No,1,,,0,0,0,0,,
61166b832bd35e63c4103b0b,a6f36b2e-6211-43d6-bfcf-a35f6358ac26,PHYSICAL,shop,chain-link-necklace,Chain Link Necklace,"<p class="""">This necklace is 16 inches with a lobster clasp closure.</p>",SQ7659794,,,,,,,,,,,,,17,0,No,0,Necklaces,,0,0,0,0,No,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1628859415172-U7JMESYF1NFX7JM8GOV7/IMG_9309.JPG
61242251a1cb315ed1c92ec3,a7c6964c-9419-420c-9e67-02ead02dcbab,PHYSICAL,shop,u-smile-ring,U Smile Ring,"<p class="""">This ring is adjustable with an open back, one size fits most.</p>",SQ7401189,Color,Pink,,,,,,,,,,,19,10,No,2,Rings,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629758283887-6DL6EQYTNZ2CYJR6I36L/IMG_2159.JPG https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629758293249-CH7XXUY8A89YGOAT0B49/IMG_2161.JPG https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629758291118-L2RPTBDPFIUGKLH3ISPV/IMG_2160.JPG https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629758659557-S7P1GDLSE2WHGMZ5DBI9/IMG_2170.JPG
,797b0fec-c0b7-48b3-8149-902b82e706a9,,,,,,SQ2708618,Color,Gold,,,,,,,,,,,19,10,No,2,,,0,0,0,0,,
6124253380a8c65097682ca7,ee67a773-815a-46f4-94d9-7b396eff66a6,PHYSICAL,shop,equality-ring,Gold Double Bar Ring,"<p class="""">One size fits all</p>",SQ2590783,,,,,,,,,,,,,21,10,No,2,Rings,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629758808055-PWRJ4JX1Q89N39F0KCFV/IMG_2169.JPG https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629758813139-TA0ERW5PJEWSPO3ZU51U/IMG_2168.JPG
612427bda1cb315ed1c930d8,1a93a319-d43d-42d3-a65c-b1ac66e25f42,PHYSICAL,shop,butterflies-ring,Butterflies Ring,"<p class="""">Open back ring, one size fits most</p>",SQ7511745,,,,,,,,,,,,,19,10,No,2,Rings,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629759447210-4VX8JZ5BU533OM8CFZAW/IMG_2162.JPG https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629759449600-M7JDHJJ1WC33ORTJD7Z3/IMG_2163.JPG
6124284380a8c65097682dc1,a5a5f460-f1ba-4c00-8c6c-094eaa33e64c,PHYSICAL,shop,smiles-all-around-ring,Smiles All Around Ring,"<p class="""">One size fits all</p>",SQ2003951,,,,,,,,,,,,,20,10,No,2,Rings,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629759582535-T6AB2Z7L05KWBHFPKBQV/IMG_2164.JPG https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629759586263-JTXZGD0XC956Q866D1KK/IMG_2165.JPG
612428d971b419017b199094,56dcc18f-b111-4a8a-b689-72e0956b8433,PHYSICAL,shop,heart-to-heart-ring,Heart to Heart Ring,"<p class="""">One size fits all</p>",SQ0892703,,,,,,,,,,,,,19,10,No,1,Rings,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629759731663-O5KEPMURDWHKO4QCTL5Y/IMG_2167.JPG https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629759734704-UWVGMZYD3L2FVJ5FLKEP/IMG_2166.JPG
61363c1e4fee02788ca1455a,004ebd2a-a43f-4651-8834-2725f4a892df,PHYSICAL,shop,2zwuj2ckgtf48uve48i5m2gwzc1kkd,Love Bracelet,"<p class="""">This bracelet is 8 inches.</p>",SQ9721514,,,,,,,,,,,,,15,0,No,2,,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1630944311256-SFPCVADECG7BMQK6FGAG/104F852A-67FD-40EB-9105-67E818E81A94 https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1630944313119-UF5P89RQ8FI6JMY84KBF/502C00E3-7E14-4DAB-97D7-C533BDA4AD92 https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1630944312377-FQBLOCQU2293JHG8UE3C/E9C4C67D-01E5-4CA6-9EBE-A0BF10ECB85D
613df48e6b81e806bb2bde4d,16e8f291-5eeb-4fa5-9afb-c3159db7410d,PHYSICAL,shop,17m2bdijg5urmi62s32r726ft9cmvy,Gold Bead Bracelet,"<p class="""">Each bracelet is 7.5 inches. Choose from small, large or mixed beads.&nbsp;</p>",SQ3794065,Bead Size,Small,,,,,,,,,,,10,0,No,1,Bracelets,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1631450266388-JBU29SLKHFTJXA99KDDT/559A2BA9-D84F-4B64-9C83-F30292F43F43 https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1631450267455-2JGSH1N9Q6W11AITU2FL/AE2A0132-A1E5-4473-B3D9-368A72C3153D https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1631450267484-V7T5JVMXPDEY9TWDMRL3/56FA9077-29B4-46FB-9C83-75F703E6AFAF
,b839cc7e-2895-498f-9b12-5aa6d51d5e0e,,,,,,SQ2803902,Bead Size,Large,,,,,,,,,,,10,0,No,1,,,0,0,0,0,,
,95d6dff6-1702-4b79-9d0a-6c604fa4565e,,,,,,SQ0275806,Bead Size,Mixed,,,,,,,,,,,10,0,No,1,,,0,0,0,0,,
613dfa2b6b81e806bb2bded8,9c530672-b76d-433e-85c6-12ef2912aadd,PHYSICAL,shop,mxsqw1nf5kqmpjtley9xo44i5lnj4p,Surfer Bracelet,"<p class="""">Each bracelet is 7.5 inches. Choose a yellow or pink accent bead.&nbsp;</p>",SQ6437350,Color,Yellow,,,,,,,,,,,10,0,No,1,,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1631451703090-DO3LBHXGOZ64GX7S2RXE/491A98B8-8D50-4D7F-A0AA-0773CA20DD41 https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1631451704033-305OFEFBDWQMDCO5P9N2/066A6E9E-BDA7-4585-B986-E4C73BCBC17D
